"MAINTENANCEID","REGISTRATIONNO","MAINTENANCEDATE","MAINTENANCETYPE","MAINTENANCECOST","TEAMID"
M143,Car17,2018-06-02 00:00:00.000,M004,400,T002
M144,Car03,2017-10-21 00:00:00.000,M002,200,T005
M145,Car02,2021-04-04 00:00:00.000,M003,300,T003
M146,Car02,2017-01-08 00:00:00.000,M003,300,T002
M147,Car01,2021-08-15 00:00:00.000,M002,200,T002
M148,Car06,2021-04-10 00:00:00.000,M002,200,T003
M149,Car03,2015-09-12 00:00:00.000,M005,500,T004
M150,Car05,2021-12-11 00:00:00.000,M002,200,T004
M151,Car18,2016-07-31 00:00:00.000,M003,300,T003
M152,Car07,2019-05-12 00:00:00.000,M003,300,T002
M153,Car16,2018-06-16 00:00:00.000,M002,200,T002
M154,Car21,2015-10-24 00:00:00.000,M002,200,T004
M155,Car14,2019-03-31 00:00:00.000,M005,500,T003
M156,Car28,2019-03-31 00:00:00.000,M005,500,T002
M157,Car04,2020-12-13 00:00:00.000,M002,200,T003
M158,Car29,2021-07-10 00:00:00.000,M002,200,T002
M159,Car13,2018-08-05 00:00:00.000,M003,300,T002
M160,Car19,2018-02-10 00:00:00.000,M001,100,T001
M161,Car05,2016-05-21 00:00:00.000,M003,300,T004
M162,Car19,2019-07-07 00:00:00.000,M002,200,T001
M163,Car12,2018-05-27 00:00:00.000,M004,400,T001
M164,Car18,2016-11-27 00:00:00.000,M005,500,T004
M165,Car25,2018-02-17 00:00:00.000,M004,400,T001
M166,Car11,2018-09-22 00:00:00.000,M001,100,T003
M167,Car16,2021-08-14 00:00:00.000,M001,100,T001
M168,Car27,2021-04-11 00:00:00.000,M003,300,T001
M169,Car21,2019-01-12 00:00:00.000,M003,300,T005
M170,Car08,2021-11-14 00:00:00.000,M004,400,T001
M171,Car23,2016-04-16 00:00:00.000,M001,100,T003
M172,Car29,2020-06-21 00:00:00.000,M002,200,T002
M173,Car28,2021-08-14 00:00:00.000,M003,300,T003
M174,Car24,2020-10-03 00:00:00.000,M003,300,T001
M175,Car25,2018-12-09 00:00:00.000,M001,100,T003
M176,Car02,2015-03-15 00:00:00.000,M002,200,T002
M177,Car07,2021-03-13 00:00:00.000,M002,200,T003
M178,Car19,2016-07-17 00:00:00.000,M004,400,T002
M179,Car24,2015-10-10 00:00:00.000,M004,400,T003
M180,Car02,2021-06-19 00:00:00.000,M005,500,T005
M181,Car19,2021-10-31 00:00:00.000,M004,400,T005
M182,Car22,2019-06-15 00:00:00.000,M002,200,T005
M183,Car25,2015-09-20 00:00:00.000,M001,100,T003
M184,Car07,2019-05-25 00:00:00.000,M005,500,T003
M185,Car28,2019-12-08 00:00:00.000,M003,300,T002
M186,Car28,2021-04-25 00:00:00.000,M003,300,T005
M187,Car14,2021-03-27 00:00:00.000,M005,500,T001
M188,Car15,2017-08-13 00:00:00.000,M002,200,T002
M189,Car09,2016-06-25 00:00:00.000,M005,500,T003
M190,Car20,2020-01-25 00:00:00.000,M002,200,T005
M191,Car26,2016-07-16 00:00:00.000,M001,100,T001
M192,Car23,2017-04-02 00:00:00.000,M004,400,T002
M193,Car09,2019-02-02 00:00:00.000,M002,200,T002
M194,Car29,2021-11-06 00:00:00.000,M005,500,T001
M195,Car04,2019-12-01 00:00:00.000,M005,500,T005
M196,Car23,2021-07-04 00:00:00.000,M002,200,T004
M197,Car01,2019-07-20 00:00:00.000,M003,300,T004
M198,Car26,2019-10-27 00:00:00.000,M005,500,T002
M199,Car13,2015-01-25 00:00:00.000,M002,200,T001
M1557,Car20,2017-03-25 00:00:00.000,M002,200,T001
M1558,Car10,2020-12-26 00:00:00.000,M002,200,T001
M1559,Car19,2016-05-15 00:00:00.000,M002,200,T001
M1560,Car20,2017-08-06 00:00:00.000,M003,300,T005
M1561,Car26,2017-08-26 00:00:00.000,M001,100,T001
M1562,Car11,2016-12-25 00:00:00.000,M003,300,T001
M1563,Car04,2018-05-19 00:00:00.000,M002,200,T003
M1564,Car11,2021-01-10 00:00:00.000,M002,200,T001
M1565,Car05,2016-01-31 00:00:00.000,M003,300,T001
M1566,Car08,2016-12-10 00:00:00.000,M005,500,T004
M1567,Car27,2019-01-12 00:00:00.000,M004,400,T002
M1568,Car05,2019-10-13 00:00:00.000,M001,100,T001
M1569,Car06,2018-10-27 00:00:00.000,M003,300,T005
M1570,Car14,2016-05-22 00:00:00.000,M003,300,T001
M1571,Car09,2015-11-28 00:00:00.000,M003,300,T004
M1572,Car06,2020-11-14 00:00:00.000,M002,200,T004
M1573,Car10,2019-01-27 00:00:00.000,M004,400,T001
M2000,Car13,2015-07-19 00:00:00.000,M002,-200,T004
