"BOOKINGID","REGISTRATIONNO","BOOKINGDATE","DEPARTUREZONE","DESTINATIONZONE","PASSENGERID"
T5444,Car18,2021-09-24 03:00:00.000,ZoneD,ZoneD,U028
T5445,Car02,2016-01-24 03:00:00.000,ZoneA,ZoneC,U101
T5447,Car20,2017-11-26 20:00:00.000,ZoneD,ZoneD,U158
T5448,Car03,2019-12-10 04:00:00.000,ZoneC,ZoneA,U137
T5449,Car26,2016-01-29 08:00:00.000,ZoneB,ZoneC,U133
T5450,Car08,2015-02-01 16:00:00.000,ZoneC,ZoneD,U018
T5451,Car13,2021-09-27 16:00:00.000,ZoneD,ZoneD,U134
T5452,Car24,2021-03-02 12:00:00.000,ZoneB,ZoneA,U110
T5453,Car30,2019-04-02 12:00:00.000,ZoneA,ZoneB,U121
T5454,Car01,2018-05-10 05:00:00.000,ZoneD,ZoneD,U136
T5455,Car14,2021-03-04 14:00:00.000,ZoneB,ZoneD,U054
T5456,Car23,2016-12-11 05:00:00.000,ZoneC,ZoneD,U090
T5457,Car26,2021-07-20 02:00:00.000,ZoneB,ZoneC,U150
T5458,Car19,2020-08-28 01:00:00.000,ZoneB,ZoneA,U081
T5459,Car11,2017-07-24 15:00:00.000,ZoneC,ZoneA,U013
T5460,Car17,2019-08-26 23:00:00.000,ZoneC,ZoneA,U045
T5461,Car26,2015-12-12 10:00:00.000,ZoneB,ZoneC,U099
T5462,Car27,2018-09-30 18:00:00.000,ZoneD,ZoneB,U052
T5463,Car22,2021-03-29 04:00:00.000,ZoneC,ZoneA,U156
T5464,Car20,2020-09-24 23:00:00.000,ZoneC,ZoneC,U150
T5465,Car10,2016-08-16 13:00:00.000,ZoneD,ZoneD,U081
T5466,Car12,2021-07-21 13:00:00.000,ZoneD,ZoneC,U130
T5467,Car16,2015-01-15 04:00:00.000,ZoneA,ZoneB,U049
T5468,Car17,2020-01-15 05:00:00.000,ZoneC,ZoneC,U034
T5469,Car08,2017-06-23 14:00:00.000,ZoneA,ZoneB,U044
T5470,Car22,2020-01-01 21:00:00.000,ZoneA,ZoneB,U098
T5472,Car11,2020-04-06 07:00:00.000,ZoneA,ZoneA,U049
T5473,Car01,2021-10-17 16:00:00.000,ZoneD,ZoneA,U071
T5474,Car09,2016-08-26 08:00:00.000,ZoneB,ZoneA,U069
T5475,Car17,2018-09-27 00:00:00.000,ZoneB,ZoneD,U147
T5476,Car29,2021-05-31 17:00:00.000,ZoneB,ZoneD,U088
T5477,Car14,2016-07-21 22:00:00.000,ZoneD,ZoneB,U156
T5478,Car10,2016-03-29 23:00:00.000,ZoneC,ZoneA,U156
T5480,Car03,2015-08-20 11:00:00.000,ZoneB,ZoneB,U083
T5481,Car21,2021-08-20 03:00:00.000,ZoneC,ZoneB,U115
T5482,Car26,2018-03-29 03:00:00.000,ZoneD,ZoneA,U157
T5483,Car01,2017-01-28 03:00:00.000,ZoneD,ZoneD,U077
T5484,Car14,2015-10-14 11:00:00.000,ZoneC,ZoneD,U068
T5485,Car26,2016-04-02 17:00:00.000,ZoneA,ZoneB,U155
T5486,Car28,2021-10-30 09:00:00.000,ZoneB,ZoneB,U153
T5487,Car24,2019-01-01 21:00:00.000,ZoneB,ZoneD,U095
T5488,Car28,2017-10-02 20:00:00.000,ZoneD,ZoneA,U060
T5489,Car01,2018-07-26 12:00:00.000,ZoneD,ZoneC,U118
T5490,Car15,2019-04-23 03:00:00.000,ZoneB,ZoneA,U075
T5491,Car29,2019-01-27 22:00:00.000,ZoneD,ZoneD,U083
T5492,Car26,2015-04-22 06:00:00.000,ZoneD,ZoneC,U070
T5493,Car24,2020-09-25 19:00:00.000,ZoneD,ZoneB,U152
T5494,Car06,2018-12-19 23:00:00.000,ZoneD,ZoneC,U015
T5495,Car25,2020-11-05 05:00:00.000,ZoneC,ZoneA,U147
T5496,Car12,2019-11-19 13:00:00.000,ZoneA,ZoneC,U117
T5497,Car29,2018-03-22 01:00:00.000,ZoneD,ZoneC,U063
T5498,Car25,2015-02-18 23:00:00.000,ZoneC,ZoneB,U027
T5499,Car23,2015-06-28 08:00:00.000,ZoneC,ZoneB,U098
T5500,Car13,2017-06-10 06:00:00.000,ZoneB,ZoneB,U116
T5501,Car27,2017-02-05 11:00:00.000,ZoneD,ZoneA,U084
T5502,Car02,2021-05-19 15:00:00.000,ZoneD,ZoneC,U016
T5503,Car13,2016-02-03 03:00:00.000,ZoneA,ZoneA,U080
T5504,Car13,2019-03-18 02:00:00.000,ZoneA,ZoneA,U023
T5505,Car21,2016-04-20 05:00:00.000,ZoneD,ZoneC,U157
T5506,Car06,2016-06-05 11:00:00.000,ZoneC,ZoneB,U041
T5507,Car06,2017-04-13 08:00:00.000,ZoneB,ZoneA,U036
T5508,Car06,2015-06-25 20:00:00.000,ZoneC,ZoneB,U159
T5509,Car10,2017-06-07 18:00:00.000,ZoneB,ZoneD,U117
T5510,Car25,2021-07-15 02:00:00.000,ZoneB,ZoneC,U059
T5511,Car10,2020-12-09 09:00:00.000,ZoneD,ZoneD,U153
T5512,Car20,2018-07-14 15:00:00.000,ZoneC,ZoneB,U129
T5513,Car16,2018-03-14 23:00:00.000,ZoneD,ZoneA,U080
T5514,Car07,2015-12-12 15:00:00.000,ZoneD,ZoneA,U083
T5515,Car25,2016-10-08 21:00:00.000,ZoneC,ZoneC,U041
T5516,Car15,2019-08-01 13:00:00.000,ZoneC,ZoneC,U026
T5517,Car26,2017-12-30 09:00:00.000,ZoneD,ZoneB,U055
T5518,Car24,2018-03-11 20:00:00.000,ZoneD,ZoneD,U040
T5519,Car05,2018-04-18 18:00:00.000,ZoneA,ZoneD,U020
T5520,Car06,2020-08-05 08:00:00.000,ZoneC,ZoneD,U077
T5521,Car11,2020-02-07 03:00:00.000,ZoneC,ZoneB,U112
T5522,Car20,2019-07-26 17:00:00.000,ZoneA,ZoneD,U112
T5523,Car02,2020-06-14 11:00:00.000,ZoneC,ZoneB,U109
T5524,Car19,2016-06-30 11:00:00.000,ZoneC,ZoneC,U099
T5525,Car03,2019-02-02 13:00:00.000,ZoneA,ZoneD,U079
T5526,Car04,2021-08-08 01:00:00.000,ZoneB,ZoneB,U091
T5527,Car17,2021-03-20 05:00:00.000,ZoneA,ZoneC,U105
T5528,Car04,2017-07-18 04:00:00.000,ZoneC,ZoneD,U153
T5529,Car14,2017-10-07 10:00:00.000,ZoneB,ZoneB,U073
T5530,Car17,2019-04-08 23:00:00.000,ZoneB,ZoneD,U155
T5531,Car18,2019-06-07 18:00:00.000,ZoneD,ZoneD,U142
T5532,Car05,2019-08-05 17:00:00.000,ZoneB,ZoneB,U092
T5533,Car20,2021-12-29 19:00:00.000,ZoneA,ZoneD,U139
T5534,Car09,2021-09-13 22:00:00.000,ZoneB,ZoneB,U105
T5535,Car27,2019-06-22 03:00:00.000,ZoneA,ZoneA,U149
T5536,Car03,2017-07-27 18:00:00.000,ZoneB,ZoneD,U028
T5537,Car15,2016-05-09 14:00:00.000,ZoneD,ZoneD,U152
T5538,Car19,2017-02-09 10:00:00.000,ZoneA,ZoneA,U137
T5539,Car15,2017-06-13 09:00:00.000,ZoneB,ZoneB,U161
T5540,Car07,2017-05-07 22:00:00.000,ZoneD,ZoneC,U064
T5541,Car14,2015-06-17 07:00:00.000,ZoneA,ZoneB,U040
T5542,Car03,2015-08-10 01:00:00.000,ZoneB,ZoneB,U076
T5543,Car15,2015-09-12 19:00:00.000,ZoneC,ZoneD,U060
T5544,Car14,2018-10-08 16:00:00.000,ZoneA,ZoneA,U040
T5545,Car05,2017-05-25 00:00:00.000,ZoneC,ZoneC,U132
T5546,Car25,2019-12-30 04:00:00.000,ZoneA,ZoneC,U069
T5547,Car28,2015-08-14 05:00:00.000,ZoneA,ZoneA,U018
T5548,Car18,2017-12-25 04:00:00.000,ZoneA,ZoneB,U050
T5549,Car09,2020-07-02 14:00:00.000,ZoneC,ZoneD,U127
T5550,Car21,2018-03-26 10:00:00.000,ZoneB,ZoneA,U162
T5551,Car07,2017-03-14 23:00:00.000,ZoneA,ZoneC,U071
T5552,Car04,2019-12-11 20:00:00.000,ZoneB,ZoneC,U044
T5553,Car27,2018-03-05 09:00:00.000,ZoneB,ZoneB,U148
T5554,Car17,2018-05-23 03:00:00.000,ZoneC,ZoneC,U061
T5555,Car02,2017-06-16 17:00:00.000,ZoneC,ZoneB,U124
T5556,Car22,2015-03-06 04:00:00.000,ZoneC,ZoneD,U122
T5557,Car17,2016-04-20 20:00:00.000,ZoneB,ZoneC,U092
T5558,Car02,2021-05-24 20:00:00.000,ZoneB,ZoneA,U102
T5559,Car25,2019-10-09 02:00:00.000,ZoneC,ZoneA,U058
T5560,Car11,2019-09-01 14:00:00.000,ZoneC,ZoneC,U051
T5561,Car28,2016-02-21 21:00:00.000,ZoneC,ZoneB,U150
T5562,Car05,2021-04-11 12:00:00.000,ZoneB,ZoneD,U097
T5563,Car30,2017-10-04 17:00:00.000,ZoneC,ZoneB,U067
T5564,Car09,2021-05-01 12:00:00.000,ZoneB,ZoneA,U077
T5565,Car09,2018-01-04 04:00:00.000,ZoneC,ZoneC,U032
T5566,Car25,2017-03-09 08:00:00.000,ZoneB,ZoneC,U063
T5567,Car01,2018-02-09 00:00:00.000,ZoneC,ZoneB,U049
T5568,Car11,2017-02-03 04:00:00.000,ZoneA,ZoneD,U140
T5569,Car07,2017-08-08 00:00:00.000,ZoneC,ZoneD,U013
T5570,Car16,2015-08-31 07:00:00.000,ZoneB,ZoneC,U016
T5571,Car15,2019-12-19 13:00:00.000,ZoneB,ZoneC,U133
T5572,Car06,2018-01-13 23:00:00.000,ZoneB,ZoneD,U158
T5573,Car08,2020-04-25 21:00:00.000,ZoneD,ZoneD,U127
T5574,Car13,2020-06-26 23:00:00.000,ZoneC,ZoneC,U131
T5575,Car18,2021-02-28 20:00:00.000,ZoneD,ZoneC,U105
T5576,Car06,2019-04-09 04:00:00.000,ZoneA,ZoneC,U062
T5577,Car29,2020-02-17 08:00:00.000,ZoneB,ZoneD,U124
T5578,Car29,2020-04-23 09:00:00.000,ZoneA,ZoneA,U128
T5579,Car03,2020-12-29 04:00:00.000,ZoneC,ZoneC,U127
T5580,Car12,2019-04-01 21:00:00.000,ZoneD,ZoneB,U127
T5581,Car12,2018-05-29 09:00:00.000,ZoneC,ZoneB,U076
T5582,Car04,2021-12-05 20:00:00.000,ZoneC,ZoneA,U047
T5583,Car29,2018-04-22 17:00:00.000,ZoneC,ZoneD,U140
T5584,Car30,2020-11-06 21:00:00.000,ZoneB,ZoneB,U136
T5585,Car16,2021-12-17 17:00:00.000,ZoneC,ZoneC,U056
T5586,Car24,2017-05-03 08:00:00.000,ZoneC,ZoneC,U112
T5587,Car24,2017-06-19 10:00:00.000,ZoneA,ZoneA,U161
T5589,Car07,2015-03-05 03:00:00.000,ZoneA,ZoneB,U043
T5590,Car25,2017-03-24 18:00:00.000,ZoneC,ZoneB,U144
T5591,Car15,2018-08-15 12:00:00.000,ZoneD,ZoneA,U080
T5592,Car06,2019-03-28 12:00:00.000,ZoneA,ZoneD,U066
T5593,Car20,2015-08-17 23:00:00.000,ZoneD,ZoneD,U161
T5594,Car22,2017-05-23 13:00:00.000,ZoneD,ZoneA,U051
T5595,Car21,2015-11-26 14:00:00.000,ZoneB,ZoneA,U036
T5596,Car30,2019-05-01 11:00:00.000,ZoneC,ZoneB,U139
T5597,Car21,2019-03-18 12:00:00.000,ZoneA,ZoneA,U137
T5598,Car18,2018-01-13 13:00:00.000,ZoneD,ZoneC,U158
T5599,Car09,2016-10-01 04:00:00.000,ZoneB,ZoneD,U154
T5600,Car07,2015-06-26 21:00:00.000,ZoneC,ZoneD,U126
T5601,Car17,2016-12-30 14:00:00.000,ZoneA,ZoneD,U082
T5602,Car03,2016-11-29 03:00:00.000,ZoneB,ZoneC,U132
T5603,Car04,2017-10-23 16:00:00.000,ZoneA,ZoneD,U081
T5604,Car27,2017-08-27 19:00:00.000,ZoneD,ZoneA,U106
T5605,Car05,2021-11-15 00:00:00.000,ZoneD,ZoneB,U121
T5606,Car06,2015-02-19 09:00:00.000,ZoneA,ZoneD,U111
T5607,Car26,2020-08-26 19:00:00.000,ZoneA,ZoneA,U065
T5608,Car16,2019-10-13 21:00:00.000,ZoneA,ZoneC,U131
T5609,Car26,2016-06-09 15:00:00.000,ZoneB,ZoneA,U092
T5610,Car10,2017-12-21 20:00:00.000,ZoneC,ZoneC,U059
T5611,Car15,2020-10-21 15:00:00.000,ZoneD,ZoneC,U111
T5612,Car04,2018-01-01 06:00:00.000,ZoneC,ZoneA,U023
T5613,Car30,2019-11-28 12:00:00.000,ZoneB,ZoneA,U160
T5614,Car16,2016-12-29 03:00:00.000,ZoneA,ZoneA,U035
T5615,Car22,2021-12-12 17:00:00.000,ZoneA,ZoneC,U055
T5616,Car03,2018-12-20 09:00:00.000,ZoneA,ZoneD,U050
T5617,Car26,2017-03-22 01:00:00.000,ZoneD,ZoneC,U123
T5618,Car05,2015-08-10 01:00:00.000,ZoneC,ZoneC,U023
T5619,Car01,2020-11-16 01:00:00.000,ZoneD,ZoneD,U079
T5620,Car28,2020-07-14 16:00:00.000,ZoneB,ZoneD,U085
T5621,Car05,2021-07-20 22:00:00.000,ZoneB,ZoneC,U135
T5622,Car25,2021-07-03 00:00:00.000,ZoneB,ZoneA,U133
T5623,Car26,2018-04-15 10:00:00.000,ZoneD,ZoneD,U019
T5624,Car09,2020-09-02 01:00:00.000,ZoneB,ZoneC,U133
T5625,Car04,2016-11-26 00:00:00.000,ZoneB,ZoneD,U020
T5626,Car07,2015-09-08 10:00:00.000,ZoneA,ZoneB,U115
T5627,Car09,2017-01-08 23:00:00.000,ZoneD,ZoneC,U041
T5628,Car05,2020-10-07 06:00:00.000,ZoneB,ZoneC,U144
T5629,Car02,2020-10-19 08:00:00.000,ZoneD,ZoneA,U050
T5630,Car25,2019-10-25 23:00:00.000,ZoneB,ZoneD,U022
T5631,Car25,2016-12-26 00:00:00.000,ZoneA,ZoneB,U016
T5632,Car30,2020-09-23 12:00:00.000,ZoneC,ZoneB,U150
T5633,Car19,2015-09-14 01:00:00.000,ZoneC,ZoneC,U155
T5634,Car08,2020-03-25 20:00:00.000,ZoneC,ZoneC,U026
T5635,Car18,2015-02-21 16:00:00.000,ZoneD,ZoneD,U046
T5636,Car24,2018-06-10 16:00:00.000,ZoneD,ZoneA,U162
T5637,Car25,2015-08-28 04:00:00.000,ZoneA,ZoneB,U113
T5638,Car09,2020-09-06 00:00:00.000,ZoneC,ZoneC,U132
T5639,Car19,2021-07-17 09:00:00.000,ZoneA,ZoneD,U083
T5640,Car10,2017-06-21 12:00:00.000,ZoneB,ZoneB,U055
T5641,Car30,2017-06-26 02:00:00.000,ZoneA,ZoneB,U162
T5642,Car17,2017-01-16 06:00:00.000,ZoneD,ZoneA,U085
T5643,Car28,2016-02-18 23:00:00.000,ZoneB,ZoneC,U150
T5644,Car01,2020-11-13 18:00:00.000,ZoneC,ZoneD,U136
T5645,Car15,2021-12-23 13:00:00.000,ZoneC,ZoneA,U083
T5646,Car24,2015-04-10 04:00:00.000,ZoneD,ZoneD,U119
T5647,Car05,2015-02-03 18:00:00.000,ZoneC,ZoneC,U126
T5648,Car30,2016-07-20 16:00:00.000,ZoneC,ZoneA,U114
T5649,Car26,2017-10-16 04:00:00.000,ZoneC,ZoneD,U091
T5650,Car04,2016-03-08 02:00:00.000,ZoneA,ZoneB,U099
T5651,Car23,2017-06-25 11:00:00.000,ZoneD,ZoneB,U149
T5652,Car13,2019-01-07 07:00:00.000,ZoneB,ZoneA,U088
T5653,Car14,2019-07-06 02:00:00.000,ZoneA,ZoneA,U072
T5654,Car21,2017-11-02 16:00:00.000,ZoneC,ZoneC,U117
T5655,Car18,2015-11-19 07:00:00.000,ZoneA,ZoneD,U046
T5656,Car11,2016-10-16 09:00:00.000,ZoneA,ZoneA,U091
T5658,Car01,2016-11-20 14:00:00.000,ZoneA,ZoneB,U131
T5659,Car16,2020-10-09 23:00:00.000,ZoneB,ZoneA,U096
T5660,Car04,2020-10-12 11:00:00.000,ZoneC,ZoneB,U042
T5661,Car30,2019-04-30 20:00:00.000,ZoneB,ZoneD,U120
T5662,Car29,2017-05-02 12:00:00.000,ZoneA,ZoneD,U076
T5663,Car27,2016-08-22 14:00:00.000,ZoneA,ZoneB,U130
T5664,Car02,2020-08-30 23:00:00.000,ZoneB,ZoneA,U081
T5665,Car30,2018-04-26 21:00:00.000,ZoneD,ZoneA,U077
T5666,Car03,2017-02-15 16:00:00.000,ZoneD,ZoneC,U049
T5667,Car21,2017-01-19 14:00:00.000,ZoneB,ZoneC,U040
T5668,Car26,2021-01-30 21:00:00.000,ZoneD,ZoneD,U039
T5669,Car07,2021-01-31 07:00:00.000,ZoneB,ZoneB,U150
T5670,Car29,2016-06-21 22:00:00.000,ZoneB,ZoneB,U063
T5671,Car29,2020-01-23 13:00:00.000,ZoneC,ZoneA,U050
T5672,Car27,2017-04-13 23:00:00.000,ZoneA,ZoneC,U036
T5673,Car17,2020-12-19 19:00:00.000,ZoneC,ZoneC,U059
T5674,Car21,2020-10-11 10:00:00.000,ZoneB,ZoneD,U013
T5675,Car01,2021-05-22 13:00:00.000,ZoneC,ZoneC,U072
T5676,Car20,2015-06-10 15:00:00.000,ZoneB,ZoneA,U139
T5677,Car24,2020-01-16 16:00:00.000,ZoneC,ZoneA,U066
T5678,Car14,2017-08-23 20:00:00.000,ZoneD,ZoneD,U108
T5679,Car15,2021-06-21 08:00:00.000,ZoneA,ZoneC,U029
T5680,Car13,2016-07-10 06:00:00.000,ZoneC,ZoneD,U078
T5681,Car01,2019-01-15 15:00:00.000,ZoneB,ZoneC,U105
T5682,Car13,2019-08-06 03:00:00.000,ZoneD,ZoneC,U051
T5684,Car25,2015-01-30 04:00:00.000,ZoneB,ZoneC,U131
T5685,Car11,2018-06-07 23:00:00.000,ZoneA,ZoneB,U102
T5686,Car09,2021-03-31 11:00:00.000,ZoneD,ZoneB,U133
T5687,Car06,2018-11-08 17:00:00.000,ZoneB,ZoneD,U095
T5688,Car29,2015-01-18 12:00:00.000,ZoneB,ZoneB,U045
T5689,Car24,2016-08-19 06:00:00.000,ZoneC,ZoneC,U099
T5690,Car01,2021-03-07 02:00:00.000,ZoneA,ZoneC,U108
T5691,Car10,2018-05-05 10:00:00.000,ZoneC,ZoneA,U049
T5692,Car23,2021-09-22 01:00:00.000,ZoneC,ZoneD,U123
T5693,Car01,2020-09-23 17:00:00.000,ZoneB,ZoneB,U059
T5694,Car02,2018-05-05 00:00:00.000,ZoneC,ZoneA,U108
T5695,Car30,2016-02-15 00:00:00.000,ZoneB,ZoneA,U097
T5696,Car23,2017-02-09 00:00:00.000,ZoneD,ZoneA,U123
T5697,Car04,2017-04-21 06:00:00.000,ZoneB,ZoneB,U160
T5698,Car01,2016-08-21 08:00:00.000,ZoneC,ZoneC,U144
T5700,Car07,2020-09-16 00:00:00.000,ZoneC,ZoneB,U104
T5701,Car01,2017-09-18 06:00:00.000,ZoneA,ZoneB,U024
T5702,Car21,2016-12-02 16:00:00.000,ZoneB,ZoneB,U054
T5703,Car24,2021-10-15 14:00:00.000,ZoneB,ZoneA,U115
T5704,Car20,2015-08-25 01:00:00.000,ZoneB,ZoneA,U047
T5705,Car03,2019-12-19 08:00:00.000,ZoneB,ZoneC,U131
T5706,Car04,2017-01-10 20:00:00.000,ZoneB,ZoneD,U074
T5707,Car09,2015-07-25 05:00:00.000,ZoneA,ZoneB,U033
T5708,Car10,2019-05-20 10:00:00.000,ZoneB,ZoneB,U079
T5709,Car16,2018-06-02 13:00:00.000,ZoneA,ZoneB,U077
T5710,Car10,2019-12-31 05:00:00.000,ZoneD,ZoneD,U114
T5711,Car17,2018-10-16 04:00:00.000,ZoneC,ZoneA,U012
T5712,Car25,2018-08-01 13:00:00.000,ZoneA,ZoneD,U133
T5713,Car17,2017-10-24 12:00:00.000,ZoneB,ZoneD,U069
T5714,Car06,2021-02-15 22:00:00.000,ZoneC,ZoneA,U045
T5715,Car21,2019-04-07 12:00:00.000,ZoneD,ZoneC,U034
T5716,Car16,2018-08-11 03:00:00.000,ZoneC,ZoneD,U103
T5717,Car12,2015-08-19 00:00:00.000,ZoneC,ZoneA,U063
T5718,Car22,2020-10-10 14:00:00.000,ZoneB,ZoneB,U138
T5719,Car28,2016-03-23 12:00:00.000,ZoneA,ZoneA,U079
T5720,Car12,2018-10-20 23:00:00.000,ZoneC,ZoneD,U010
T5721,Car02,2021-09-25 04:00:00.000,ZoneD,ZoneC,U107
T5722,Car10,2018-08-27 19:00:00.000,ZoneA,ZoneA,U120
T5723,Car29,2015-12-22 00:00:00.000,ZoneD,ZoneC,U126
T5724,Car15,2020-02-06 02:00:00.000,ZoneC,ZoneB,U138
T5725,Car23,2019-06-06 22:00:00.000,ZoneB,ZoneC,U144
T5726,Car11,2018-04-21 16:00:00.000,ZoneB,ZoneA,U069
T5727,Car27,2017-03-28 22:00:00.000,ZoneD,ZoneC,U115
T5728,Car23,2021-04-03 09:00:00.000,ZoneC,ZoneA,U081
T5729,Car30,2017-11-02 01:00:00.000,ZoneD,ZoneB,U133
T5730,Car11,2020-03-21 11:00:00.000,ZoneC,ZoneB,U072
T5731,Car17,2019-03-28 07:00:00.000,ZoneC,ZoneC,U098
T5732,Car08,2021-08-16 14:00:00.000,ZoneA,ZoneD,U124
T5733,Car08,2021-01-22 23:00:00.000,ZoneC,ZoneA,U063
T5734,Car27,2020-03-17 22:00:00.000,ZoneA,ZoneC,U075
T5735,Car28,2021-07-23 00:00:00.000,ZoneC,ZoneB,U147
T5736,Car12,2016-06-11 17:00:00.000,ZoneA,ZoneA,U154
T5737,Car29,2016-08-20 02:00:00.000,ZoneA,ZoneC,U142
T5738,Car17,2021-12-09 19:00:00.000,ZoneB,ZoneC,U014
T5739,Car13,2021-01-17 23:00:00.000,ZoneA,ZoneD,U113
T5740,Car08,2016-01-12 21:00:00.000,ZoneA,ZoneC,U040
T5741,Car10,2019-08-03 05:00:00.000,ZoneC,ZoneB,U146
T5742,Car25,2016-12-18 07:00:00.000,ZoneD,ZoneA,U020
T5743,Car22,2020-10-01 10:00:00.000,ZoneC,ZoneB,U114
T5744,Car17,2020-11-21 16:00:00.000,ZoneC,ZoneA,U067
T5745,Car27,2018-07-23 04:00:00.000,ZoneD,ZoneA,U140
T5746,Car03,2021-01-01 07:00:00.000,ZoneC,ZoneD,U049
T5747,Car22,2021-05-27 08:00:00.000,ZoneD,ZoneB,U131
T5748,Car18,2018-11-11 15:00:00.000,ZoneB,ZoneC,U074
T5749,Car09,2016-11-21 05:00:00.000,ZoneA,ZoneB,U119
T5750,Car30,2017-12-23 22:00:00.000,ZoneB,ZoneA,U061
T5751,Car07,2020-05-07 13:00:00.000,ZoneD,ZoneB,U086
T5752,Car02,2015-11-06 14:00:00.000,ZoneC,ZoneA,U070
T5753,Car30,2016-10-09 17:00:00.000,ZoneA,ZoneC,U053
T5754,Car26,2021-01-29 20:00:00.000,ZoneD,ZoneB,U080
T5755,Car10,2018-04-03 13:00:00.000,ZoneB,ZoneA,U045
T5756,Car08,2017-06-24 10:00:00.000,ZoneA,ZoneD,U052
T5757,Car22,2015-05-25 14:00:00.000,ZoneC,ZoneA,U126
T5758,Car24,2015-12-19 07:00:00.000,ZoneC,ZoneA,U136
T5759,Car19,2015-04-05 14:00:00.000,ZoneA,ZoneC,U088
T5760,Car13,2020-09-21 05:00:00.000,ZoneB,ZoneD,U092
T5761,Car04,2016-04-19 09:00:00.000,ZoneA,ZoneA,U054
T6814,Car07,2019-03-05 04:00:00.000,ZoneB,ZoneA,U124
T6815,Car13,2020-11-22 02:00:00.000,ZoneD,ZoneC,U148
T6816,Car16,2015-04-08 07:00:00.000,ZoneD,ZoneC,U131
T6817,Car16,2021-06-07 09:00:00.000,ZoneA,ZoneB,U081
T6818,Car04,2015-05-21 20:00:00.000,ZoneB,ZoneD,U107
T6819,Car02,2015-06-04 19:00:00.000,ZoneB,ZoneC,U017
T6820,Car22,2018-08-31 18:00:00.000,ZoneB,ZoneA,U084
T6821,Car24,2016-01-26 15:00:00.000,ZoneC,ZoneD,U157
T6823,Car08,2017-09-22 10:00:00.000,ZoneD,ZoneA,U056
T6824,Car28,2015-02-12 02:00:00.000,ZoneB,ZoneB,U021
T6825,Car30,2020-12-20 20:00:00.000,ZoneC,ZoneD,U104
T6826,Car02,2018-09-04 12:00:00.000,ZoneA,ZoneA,U128
T6827,Car17,2017-11-19 23:00:00.000,ZoneD,ZoneB,U139
T6828,Car21,2020-02-09 20:00:00.000,ZoneA,ZoneD,U077
T6829,Car20,2015-12-09 12:00:00.000,ZoneC,ZoneA,U071
T6830,Car09,2015-11-05 03:00:00.000,ZoneD,ZoneA,U050
T6831,Car11,2017-02-15 01:00:00.000,ZoneB,ZoneC,U029
T6832,Car11,2021-05-07 03:00:00.000,ZoneB,ZoneB,U054
T6833,Car30,2020-11-06 16:00:00.000,ZoneA,ZoneA,U081
T6834,Car09,2016-05-30 10:00:00.000,ZoneA,ZoneA,U016
T6835,Car28,2015-04-26 00:00:00.000,ZoneA,ZoneC,U135
T6836,Car23,2020-09-01 05:00:00.000,ZoneC,ZoneB,U088
T6837,Car09,2017-07-10 21:00:00.000,ZoneD,ZoneC,U059
T6838,Car28,2020-07-29 06:00:00.000,ZoneC,ZoneC,U159
T6839,Car19,2020-07-30 07:00:00.000,ZoneD,ZoneB,U113
T6840,Car04,2015-04-09 18:00:00.000,ZoneC,ZoneB,U152
T6841,Car24,2018-06-30 06:00:00.000,ZoneA,ZoneC,U015
T6842,Car01,2018-11-02 16:00:00.000,ZoneB,ZoneD,U109
T6843,Car07,2020-04-27 13:00:00.000,ZoneC,ZoneB,U063
T6844,Car18,2020-01-25 10:00:00.000,ZoneA,ZoneD,U151
T6845,Car03,2017-08-28 20:00:00.000,ZoneA,ZoneA,U045
T6846,Car09,2016-02-14 04:00:00.000,ZoneA,ZoneA,U022
T6847,Car06,2016-07-23 19:00:00.000,ZoneD,ZoneC,U095
T6848,Car07,2016-12-11 00:00:00.000,ZoneB,ZoneB,U047
T6849,Car23,2020-10-14 03:00:00.000,ZoneD,ZoneC,U033
T6850,Car29,2019-06-16 22:00:00.000,ZoneC,ZoneD,U154
T6851,Car08,2016-04-25 10:00:00.000,ZoneD,ZoneB,U043
T6852,Car25,2019-08-11 03:00:00.000,ZoneC,ZoneC,U010
T6853,Car12,2017-02-09 20:00:00.000,ZoneB,ZoneD,U142
T6854,Car29,2015-11-27 00:00:00.000,ZoneD,ZoneC,U041
T6855,Car21,2021-03-18 03:00:00.000,ZoneD,ZoneD,U026
T6856,Car25,2021-04-08 04:00:00.000,ZoneA,ZoneB,U020
T6857,Car06,2017-08-01 03:00:00.000,ZoneB,ZoneB,U025
T6858,Car10,2016-10-09 07:00:00.000,ZoneD,ZoneA,U036
T6859,Car29,2019-03-22 21:00:00.000,ZoneB,ZoneD,U061
T6860,Car10,2017-09-18 01:00:00.000,ZoneB,ZoneD,U078
T6861,Car08,2021-11-21 11:00:00.000,ZoneA,ZoneB,U052
T6862,Car24,2020-05-08 19:00:00.000,ZoneB,ZoneD,U071
T6863,Car22,2021-04-26 07:00:00.000,ZoneC,ZoneC,U135
T6864,Car03,2016-01-09 13:00:00.000,ZoneD,ZoneD,U076
T6865,Car30,2020-01-06 06:00:00.000,ZoneB,ZoneB,U049
T6866,Car11,2020-01-09 19:00:00.000,ZoneB,ZoneD,U035
T6867,Car06,2016-11-29 18:00:00.000,ZoneD,ZoneD,U048
T6868,Car29,2018-05-16 06:00:00.000,ZoneA,ZoneA,U010
T6869,Car08,2019-11-29 18:00:00.000,ZoneB,ZoneD,U121
